BN,CO,PARA,LN,POSITION OR DUTY TITLE,GR,POSCO,BR,ID,AMSCO,SWC,MDEP,REQ,AUTH,R1 R2 R3

,,550,0,15TH SIG BDE,,W0,,,,,,,,
0,7,550,1,COMMANDER,O6,25A00,SC,K,32173100,BAH,TFNC,1,1,36
0,7,550,2,XO,O5,25A00,SC,K,32173100,BAH,TATC,1,1,
0,7,550,3,CSM,E9,00Z5O,NC,I,32173100,BAH,TFNC,1,1,
0,7,550,4,SECY STENO,6,318,GS,C,32173100,BAH,TFNC,1,1,ZR
0,7,550,6,DEAN,14,1750,GS,C,32173100,UMB,TFNC,1,1,CT
0,7,550,7,SECY STENO OA,6,318,GS,C,32173100,UMB,TATC,1,1,ZR

,,,,,,,550,TO,,,,6,6,

,,550A,0,S1 ADJUTANT,,W0,,,,,,,,
0,7,550A,1,BDE CHAPLAIN,O4,56A00,CH,K,32477100,BZD,QNMG,1,1,
0,7,550A,2,EQUAL OPP ADV,E7,31W4Q,NC,I,32173100,PUU,TFNC,1,1,
0,7,550A,3,SR PERS SVC SGT,E7,75H4O,NC,I,32173100,PUU,TFNC,1,1,ZR
0,7,550A,4,LEGAL NCO,E6,27D3O,NC,I,32173100,PUU,TFNC,1,1,
0,7,550A,5,PERS ADMIN SGT,E6,75H3O,NC,I,32173100,PUU,TFNC,1,1,ZR
0,7,550A,6,ADMIN SUPV,E6,71L3O,NC,I,32173100,PUU,TFNC,2,1,ZR
0,7,550A,7,ADMIN SGT,E5,71L2O,NC,I,32173100,PUU,TFNC,1,1,ZR
0,7,550A,8,CHAP ASST NCO,E6,56M3O,NC,I,32477100,BZD,QNMG,1,1,
0,7,550A,9,ADMIN SP,E4,71L1O,,I,32173100,PUU,TFNC,2,1,ZR
0,7,550A,10,PERS ADMIN SP,E4,75B1O,,I,32173100,PUU,TFNC,2,2,ZR
0,7,550A,11,ADMIN CLK,E3,71L1O,,I,32173100,PUU,TFNC,2,2,ZR
0,7,550A,12,LEAD MAIL CLERK,4,305,GS,C,32173100,PUU,TFNC,1,1,ZR
0,7,550A,13,MAIL CLERK,3,305,GS,C,32173100,PUU,TFNC,3,1,ZR
0,7,550A,14,ADMIN SGT,E6,71L3O,NC,I,32173100,ADI,TFNC,1,0,ZR
0,7,550A,16,ADMIN SP,E4,71L1O,,I,32173100,ADI,TATC,1,0,ZR

,,,,,,,0A T,OTA,,,,21,15,

,,550B,0,S2 S3,,W0,,,,,,,,
0,7,550B,1,S2 S3,O4,25A00,SC,K,32173100,YZZ,TATC,1,1,
0,7,550B,2,ASST S2 S3,O3,25A00,SC,K,32173100,YZZ,TATC,1,0,
0,7,550B,3,OPNS SGT,E9,31Z5O,NC,I,32173100,YZZ,TFNC,1,1,
0,7,550B,4,TNG SGT,E7,31W4O,NC,I,32173100,YZZ,TFNC,1,1,
0,7,550B,6,TNG SGT,E6,31U3O,NC,I,32173100,YZZ,TFNC,4,1,
0,7,550B,8,PERSONNEL SP,4,303,GS,C,32173100,YZZ,TFNC,2,1,ZR
0,7,550B,9,SECY STENO,4,318,GS,C,32173100,YZZ,TFNC,2,1,ZR

,,,,,,,0B T,OTA,,,,12,6,

,,550C,0,S4,,W0,,,,,,,,
0,7,550C,1,S4,O3,92A00,QM,K,32173100,MCZ,TFNC,1,0,ZR
0,7,550C,1,A S4,O3,92A00,QM,K,32173100,MCZ,TATC,0,1,ZR
0,7,550C,2,SR SUPPLY SGT,E8,92Y5O,NC,I,32173100,MCZ,TFNC,1,1,ZR
0,7,550C,3,SUPPLY SGT,E7,92Y4O,NC,I,32173100,MCZ,TFNC,1,1,ZR
0,7,550C,4,SUPPLY SGT,E5,92Y2O,NC,I,32173100,MCZ,TFNC,1,1,
0,7,550C,6,SUP SP ARMORER,E4,92Y1O,,I,32173100,MCZ,TFNC,2,1,ZR
0,7,550C,7,SUPPLY SP,E3,92Y1O,,I,32173100,MCZ,TFNC,1,1,ZR

,,,,,,,0C T,OTA,,,,7,6,

,,550D,0,HHC-15TH SIG BDE,,W0,,,,,,,,
0,7,550D,1,COMMANDER,O4,25A00,SC,K,32173100,BAH,TATC,1,0,XH YW
0,7,550D,1,A COMMANDER,O3,25A00,SC,K,32173100,BAC,TATC,0,1,XH YW
0,7,550D,2,FIRST SGT,E8,31W5M,NC,I,32173100,UMC,TFNC,1,1,
0,7,550D,3,OPNS SGT,E6,31R3O,NC,I,32173100,BAH,TFNC,1,1,
0,7,550D,4,OPNS SGT,E5,31R2O,NC,I,32173100,BAH,TFNC,2,1,
0,7,550D,5,OPNS SGT,E5,31R2O,NC,I,32173100,BAH,TATC,1,1,

,,,,,,,0D T,OTA,,,,6,5,

0,7,550E,0,S3 TRNG DIV,,W0,,,,,,,,
0,7,550E,1,SUPV TNG SP,12,1750,GS,C,32173100,UMC,TFNC,1,1,CT
0,7,550E,3,OFC AUTO CLERK,4,326,GS,C,32173100,ADI,TATC,1,0,ZR
0,7,550E,5,SR TNG MGT NCO,E7,31U4O,NC,I,32173100,UMD,TATC,1,1,TL
0,7,550E,6,ADMIN SUPV,E7,71L4O,NC,I,32173100,ADI,TATC,1,0,ZR
0,7,550E,7,SR TNG MGT NCO,E7,31W4O,NC,I,32173100,UMC,TATC,1,1,
0,7,550E,10,TNG MGT NCO,E6,31F3O,NC,I,32173100,UMD,TATC,2,0,TL
0,7,550E,11,CRS MGT NCO,E6,31S3O,NC,I,32173100,UMC,TATC,1,0,
0,7,550E,12,TNG OPS SGT,E6,31U3O,NC,I,32173100,UMB,TATC,1,0,TL
0,7,550E,13,TNG MGT NCO,E6,31U3O,NC,I,32173100,UMC,TATC,1,1,
0,7,550E,18,TNG SP,11,1712,GS,C,32173100,UKC,TATC,5,2,XV
0,7,550E,20,INSTR SYS SP,11,1750,GS,C,32173100,UKC,TATC,1,1,XV
0,7,550E,21,TNG TECH,5,1702,GS,C,32173100,ADI,TATC,1,0,ZR YU
0,7,550E,22,ADMIN CLERK,E3,71L1O,,I,32173100,ADI,TATC,2,0,XG ZR

,,,,,,,0E T,OTA,,,,19,7,

,,550F,0,COMSEC BRANCH,,W0,,,,,,,,
0,7,550F,1,COMSEC CUSTODIAN,E7,74C4O,NC,I,32173100,IKA,TATC,1,1,
0,7,550F,2,COMSEC MATL MGR,E6,74C3O,NC,I,32173100,IKA,TATC,1,1,
0,7,550F,3,SR COMSEC CLK,E5,74C2O,NC,I,32173100,IKA,TATC,1,0,

,,,,,,,0F T,OTA,,,,3,2,

,,550G,0,AUTOMATION BRANCH,,W0,,,,,,,,
0,7,550G,1,SUPV TNG SPEC,11,1712,GS,C,32173100,UKC,TATC,1,1,XV
0,7,550G,2,INFO SYS MGR,E6,74B3O,NC,I,32173100,IKA,TATC,1,1,TL
0,7,550G,3,INFO SYS ADMIN,E5,74B2O,NC,I,32173100,IKA,TATC,1,1,TL
0,7,550G,4,INFO SYS ANALYST,E5,74B2O,NC,I,32173100,ADI,TATC,1,1,
0,7,550G,5,TNG SPEC AUTO,9,1712,GS,C,32173100,UKC,TATC,2,2,XV
0,7,550G,7,TNG SGT,E6,74B3O,NC,I,32173100,UMC,TFNC,1,1,
0,7,550G,8,TNG MGT NCO,E6,74B3O,NC,I,32173100,UMC,TATC,1,1,ZR TL
0,7,550G,9,SR TNG MGT NCO,E7,74B4O,NC,I,32173100,UMC,TATC,1,1,
0,7,550G,10,SR TNG MGT NCO,E7,74B4O,NC,I,32173100,UMC,TATC,1,1,

,,,,,,,0G T,OTA,,,,10,10,

,,550H,0,COURSE MGT SUPPLY,,W0,,,,,,,,
0,7,550H,1,SUPV SUP TECH,9,2005,GS,C,32173100,NRB,TATC,1,1,ZR
0,7,550H,2,SUPPLY SGT,E5,92Y2O,NC,I,32173100,NRB,TATC,1,1,ZR
0,7,550H,3,SUPPLY SP,E4,92Y1O,,I,32173100,NRB,TATC,3,2,ZR
0,7,550H,4,SUPPLY SP,E3,92Y1O,,I,32173100,NRB,TATC,3,2,ZR
0,7,550H,5,SUPPLY CLERK,4,2005,GS,C,32173100,NRB,TATC,2,2,ZR
0,7,550H,10,SUPPLY SGT,E5,92Y2O,NC,I,32173100,BAH,TATC,1,1,ZR

,,,,,,,0H T,OTA,,,,11,9,

0,7,550I,0,TRAINING DEV DIV,,W0,,,,,,,,
0,7,550I,1,SUPV TNG SP,13,1712,GS,C,32173100,UKC,TATC,1,1,CT
0,7,550I,3,OFC AUTO CLERK,5,318,GS,C,32173100,ADI,TATC,1,0,ZR
0,7,550I,3,A OFC AUTO CLERK,5,318,GS,C,32173100,ADI,TFNC,0,1,ZR

,,,,,,,0I T,OTA,,,,2,2,

0,7,550J,0,ACD TNG DEV BR,,W0,,,,,,,,
0,7,550J,1,SUPV INSTR SYS SP,12,1750,GS,C,32477200,UPZ,TADV,1,1,CT
0,7,550J,2,CH TNG DEV/WTR,E8,31W52,NC,I,32477200,UPZ,TADV,1,1,
0,7,550J,3,SR TNG DEV/WTR,E7,31P42,NC,I,32477200,UPZ,TADV,3,2,ZR
0,7,550J,4,SR TNG DEV/WTR,E7,31U42,NC,I,32477200,UPZ,TADV,3,2,ZR
0,7,550J,5,SR TNG DEV/WTR,E7,31W42,NC,I,32477200,UPZ,TADV,3,3,ZR
0,7,550J,6,TNG DEV/WTR,E6,31F32,NC,I,32477200,UPZ,TADV,5,2,ZR
0,7,550J,7,TNG DEV/WTR,E6,31P32,NC,I,32477200,UPZ,TADV,5,4,ZR
0,7,550J,8,TNG DEV/WTR,E6,31R32,NC,I,32477200,UPZ,TADV,3,2,ZR
0,7,550J,9,TNG DEV/WTR,E6,31U32,NC,I,32477200,UPZ,TADV,5,4,ZR
0,7,550J,13,WRITER INSTR,11,1712,GS,C,32477200,UPZ,TADV,1,1,
0,7,550J,14,WRITER INSTR,11,1712,GS,C,32477200,UPZ,TADV,3,1,
0,7,550J,16,WRITER INSTR,11,1712,GS,C,32477200,UPZ,TADV,2,0,
0,7,550J,17,WRITER INSTR,11,1712,GS,C,32477200,UPZ,TADV,1,0,
0,7,550J,18,WRITER INSTR,11,1712,GS,C,32477200,UPZ,TADV,2,1,
0,7,550J,19,INSTR SYS SPEC,11,1750,GS,C,32477200,UPZ,TADV,3,2,
0,7,550J,20,INSTR SYS SPEC,11,1750,GS,C,32477200,UPZ,TADV,3,2,
0,7,550J,21,TNG TECH,6,1702,GS,C,32173100,ADI,TATC,1,1,ZR
0,7,550J,22,TNG SP,11,1712,GS,C,32477200,UPZ,TADV,2,0,

,,,,,,,0J T,OTA,,,,47,29,

0,7,550K,0,TSD TNG DEV BR,,W0,,,,,,,,
0,7,550K,1,SUPV INTR SYS SP,12,1750,GS,C,32477200,UPZ,TADV,1,1,CT
0,7,550K,1,A CH TNG DEV/WTR,E8,31T52,NC,I,32477200,UPZ,TADV,1,1,ZR
0,7,550K,2,SR TNG DEV/WTR,E7,31S42,NC,I,32477200,UPZ,TADV,2,2,ZR
0,7,550K,3,SR TNG DEV/WTR,E7,31W42,NC,I,32477200,UPZ,TADV,3,1,ZR
0,7,550K,4,SR TNG DEV/WTR,E7,31W42,NC,I,32477200,UPZ,TADV,1,1,ZR
0,7,550K,5,TNG DEV/WTR,E6,31C32,NC,I,32477200,UPZ,TADV,2,2,ZR
0,7,550K,6,TNG DEV/WTR,E6,31L32,NC,I,32477200,UPZ,TADV,3,3,ZR
0,7,550K,7,TNG DEV/WTR,E6,31S32,NC,I,32477200,UPZ,TADV,8,6,ZR
0,7,550K,9,WRITER INSTR,11,1712,GS,C,32477200,UPZ,TADV,5,5,
0,7,550K,10,WRITER INSTR,11,1712,GS,C,32477200,UPZ,TADV,4,3,
0,7,550K,11,WRITER INSTR,11,1712,GS,C,32477200,UPZ,TADV,4,0,
0,7,550K,12,INSTR SYS SPEC,11,1750,GS,C,32173100,UKC,TATC,1,1,XV
0,7,550K,13,INSTR SYS SPEC,11,1750,GS,C,32477200,UPZ,TADV,4,1,
0,7,550K,16,TNG TECH,6,1702,GS,C,32173100,ADI,TATC,1,1,ZR

,,,,,,,0K T,OTA,,,,40,28,


,,,,,,,TALS,,,,,184,125,

,,600,0,369TH SIG BN,,W0,,,,,,,,
2,1,600,1,COMMANDER,O5,25A00,SC,K,32173100,BAH,TATC,1,1,36
2,1,600,2,XO,O4,25A00,SC,K,32173100,BAH,TATC,1,0,
2,1,600,3,XO,O3,25A00,SC,K,32173100,BAH,TATC,0,1,
2,1,600,4,CSM,E9,00Z5O,NC,I,32173100,BAH,TATC,1,1,

,,,,,,,600,TO,,,,3,3,

,,600A,0,S1 369TH,,W0,,,,,,,,
2,1,600A,1,PERS SGT,E7,75H4O,NC,I,32173100,PUV,TATC,1,1,ZR
2,1,600A,2,BN CHAPLAIN,O3,56A00,CH,K,32477100,BZD,QNMG,1,1,
2,1,600A,3,PERS ADMIN SGT,E6,75H3O,NC,I,32173100,PUV,TATC,1,1,ZR
2,1,600A,4,ADMIN SP,E4,71L1O,,I,32173100,PUV,TATC,1,1,ZR
2,1,600A,5,PERS ADMIN SGT,E5,75B2O,NC,I,32173100,PUV,TATC,1,1,ZR
2,1,600A,6,CHAP ASST,E4,56M1O,,I,32477100,BZF,QNMG,1,1,
2,1,600A,7,PERS ADMIN SP,E4,75B1O,,I,32173100,PUV,TATC,1,1,ZR
2,1,600A,9,MIL PERS CLK T,4,204,GS,C,32173100,PUV,TATC,1,1,ZR
2,1,600A,10,LEGAL CLERK,4,986,GS,C,32173100,PUV,TATC,1,1,ZR

,,,,,,,0A T,OTA,,,,9,9,

,,600B,0,S4 369TH,,W0,,,,,,,,
2,1,600B,1,SUPPLY SGT,E7,92Y4O,NC,I,32173100,MCZ,TATC,1,1,ZR
2,1,600B,2,SUPPLY SGT,E5,92Y2O,NC,I,32173100,MCZ,TATC,1,1,ZR
2,1,600B,3,SUPPLY SP,E4,92Y1O,,I,32173100,MCZ,TATC,2,2,ZR
2,1,600B,4,SUPPLY SP,E3,92Y1O,,I,32173100,MCZ,TATC,2,1,ZR

,,,,,,,0B T,OTA,,,,6,5,

,,600C,0,S3 COURSE MGT DEPT,,W0,,,,,,,,
2,1,600C,1,SUPV INST SYS SP,13,1712,GS,C,32477200,UPZ,TADV,1,1,CT
2,1,600C,2,CH INSTR/WTR,E9,31Z5H,NC,I,32173100,UMB,TATC,1,1,XT
2,1,600C,2,A SR TNG MGMT NCO,E7,31U4O,NC,I,32173100,UMB,TATC,1,1,ZR TL
2,1,600C,4,SECY OFC AUTO,5,318,GS,C,32173100,ADI,TATC,1,1,ZR
2,1,600C,5,OPNS SGT,E8,31W5O,NC,I,32173100,BAH,TATC,1,1,TL
2,1,600C,6,OPNS SGT,E6,31U3O,NC,I,32173100,BAH,TATC,1,1,TL
2,1,600C,19,TNG SP,11,1712,GS,C,32173100,UKC,TATC,1,1,XV

,,,,,,,0C T,OTA,,,,7,7,

,,600D,0,TCS DIV,,W0,,,,,,,,
2,1,600D,1,SUPV TNG INSTR,12,1712,GS,C,32173100,UMC,TATC,1,1,XV CT
2,1,600D,2,CHIEF INSTR,E8,31U5H,NC,I,32173100,UMC,TATC,1,1,XT
2,1,600D,3,INSTR/WTR,E7,31U4H,NC,I,32173100,UKC,TATC,35,33,XT
2,1,600D,3,A SIG SUP SYS SP,E6,31U3O,NC,I,32173100,UKC,TATC,3,0,YU
2,1,600D,4,INSTR/WTR,E6,31U3H,NC,I,32173100,UKC,TATC,76,75,XT
2,1,600D,5,TNG INSTR WRITER,E6,31U3H,NC,I,32173100,UKC,TATC,3,2,XT VV
2,1,600D,5,A TNG MGT NCO,E6,31U3O,NC,I,32173100,UKC,TATC,2,0,
2,1,600D,6,SUPV TNG INSTR,11,1712,GS,C,32173100,UKC,TATC,3,2,XV
2,1,600D,7,TNG SP AUTO,9,1712,GS,C,32173100,UKC,TATC,1,1,XV
2,1,600D,8,TNG INS WRITER,9,1712,GS,C,32173100,UKC,TATC,13,8,XV
2,1,600D,9,TNG INSTR WRITER,9,1712,GS,C,32173100,UKC,TATC,8,3,YU
2,1,600D,10,OFC AUTO CLERK,4,326,GS,C,32173100,ADI,TATC,1,1,
2,1,600D,11,TNG SP WRITER,11,1712,GS,C,32173100,UKC,TATC,3,1,XV
2,1,600D,12,ADMIN SP,E4,71L1O,,I,32173100,ADI,TATC,1,1,ZR

,,,,,,,0D T,OTA,,,,151,129,

,,600E,0,CABLE & RADIO DIV,,W0,,,,,,,,
2,1,600E,1,SUPV TNG INSTR,12,1712,GS,C,32173100,UKC,TATC,1,1,XV CT
2,1,600E,2,CH INSTR/WTR,E8,31W5H,NC,I,32173100,UKC,TATC,1,1,XT
2,1,600E,4,INSTR/WTR,E7,31W4H,NC,I,32173100,UKC,TATC,7,7,XT
2,1,600E,5,INSTR/WTR,E7,31W4H,NC,I,32173100,UKC,TATC,8,8,XT
2,1,600E,6,INSTR/WTR,E7,31W4H,NC,I,32173100,UKC,TATC,2,2,XT VV
2,1,600E,7,SR TNG MGMT NCO,E7,31W4O,NC,I,32173100,UKC,TATC,3,1,
2,1,600E,8,INSTR/WTR,E6,31C3H,NC,I,32173100,UKC,TATC,2,2,XT
2,1,600E,9,INSTR/WTR,E6,31C3H,NC,I,32173100,UKC,TATC,1,1,XG XT VV
2,1,600E,10,INST/WTR,E6,31C3H,NC,I,32173100,UKC,TATC,11,10,XT
2,1,600E,11,INSTR/WTR,E6,31C3H,NC,I,32173100,UKC,TATC,3,3,XT
2,1,600E,11,E INSTR/WTR,E7,31W4H,NC,I,32173100,UKC,TFNC,1,1,XT
2,1,600E,12,CRS MGT NCO,E6,31C3O,NC,I,32173100,UKC,TATC,5,0,
2,1,600E,13,INSTR/WTR,E6,31L3H,NC,I,32173100,UKC,TATC,11,11,XT
2,1,600E,14,TNG MGT NCO,E6,31L3O,NC,I,32173100,UKC,TATC,2,1,VV
2,1,600E,15,INSTR/WTR,E6,31L3H,NC,I,32173100,UKC,TATC,6,6,XT
2,1,600E,16,TNG MGMT NCO,E6,31L3O,NC,I,32173100,UMC,TATC,9,0,
2,1,600E,17,SUPV TNG INSTR,12,1712,GS,C,32173100,UKC,TATC,1,0,XV CT
2,1,600E,18,SUPV TNG INSTR,11,1712,GS,C,32173100,UKC,TATC,2,2,XV
2,1,600E,19,SUPV TNG INSTR,11,1712,GS,C,32173100,UKC,TATC,2,2,XV
2,1,600E,20,TNG SP WRITER,11,1712,GS,C,32173100,UKC,TATC,2,0,XV
2,1,600E,21,INSTR/WTR,9,1712,GS,C,32173100,UKC,TATC,4,3,XV
2,1,600E,22,TNG SP,9,1712,GS,C,32173100,UKC,TATC,2,0,YU
2,1,600E,23,INSTR/WTR,9,1712,GS,C,32173100,UKC,TATC,7,3,XV
2,1,600E,24,TNG SP,9,1712,GS,C,32173100,UKC,TATC,1,0,YU
2,1,600E,25,OFC AUTO CLERK,4,326,GS,C,32173100,ADI,TATC,1,1,
2,1,600E,27,ADMIN SGT,E4,71L1O,,I,32173100,ADI,TATC,1,1,ZR

,,,,,,,0E T,OTA,,,,96,67,


,,,,,,,TALS,,,,,272,220,

,,601,0,HQ&COA 369TH,,W0,,,,,,,,
2,1,601,1,COMMANDER,O3,25A00,SC,K,32173100,BAH,TATC,1,1,YW
2,1,601,2,XO,O2,01A00,,K,32173100,BAH,TATC,1,0,
2,1,601,3,FIRST SGT,E8,31U5M,NC,I,32173100,BAH,TATC,1,1,
2,1,601,8,OPNS SGT,E6,31U3O,NC,I,32173100,BAH,TATC,1,1,TL
2,1,601,9,OPNS SGT,E5,31U2O,NC,I,32173100,BAH,TATC,1,1,

,,,,,,,TALS,,,,,5,4,

,,602,0,CO B 369TH,,W0,,,,,,,,
2,2,602,1,COMMANDER,O3,25A00,SC,K,32173100,BAH,TATC,1,1,YW
2,2,602,2,XO,O2,01A00,,K,32173100,BAH,TATC,1,1,
2,2,602,3,FIRST SGT,E8,31U5M,NC,I,32173100,BAH,TATC,1,1,
2,2,602,4,SR DS,E7,31W4X,NC,I,32173100,BAH,TATC,4,3,YD
2,2,602,5,OPNS SGT,E6,31C3O,NC,I,32173100,BAH,TATC,1,1,TL
2,2,602,6,DS,E6,31C3X,NC,I,32173100,BAH,TATC,4,4,YD
2,2,602,6,A DS,E6,31L3X,NC,I,32173100,BAH,TATC,4,3,YD
2,2,602,7,OPNS SGT,E5,31L2O,NC,I,32173100,BAH,TATC,1,1,

,,,,,,,TALS,,,,,17,15,

,,603,0,CO C 369TH,,W0,,,,,,,,
2,3,603,1,COMMANDER,O3,25A00,SC,K,32173100,BAH,TATC,1,1,YW
2,3,603,2,XO,O2,01A00,,K,32173100,BAH,TATC,1,1,
2,3,603,3,FIRST SGT,E8,31U5M,NC,I,32173100,BAH,TATC,1,1,
2,3,603,4,SR DS,E7,31U4X,NC,I,32173100,BAH,TATC,3,3,YD
2,3,603,5,OPNS SGT,E6,31U3O,NC,I,32173100,BAH,TATC,1,1,TL
2,3,603,6,DS,E6,31U3X,NC,I,32173100,BAH,TATC,7,7,YD
2,3,603,7,OPNS SGT,E5,31U2O,NC,I,32173100,BAH,TATC,1,1,

,,,,,,,TALS,,,,,15,15,

,,604,0,CO D 369TH,,W0,,,,,,,,
2,4,604,1,COMMANDER,O3,25A00,SC,K,32173100,BAH,TATC,1,1,YW
2,4,604,2,XO,O2,01A00,,K,32173100,BAH,TATC,1,1,
2,4,604,3,FIRST SGT,E8,31U5M,NC,I,32173100,BAH,TATC,1,1,
2,4,604,4,A SR DS,E7,31U4X,NC,I,32173100,BAH,TATC,3,3,YD
2,4,604,6,OPNS SGT,E6,31U3O,NC,I,32173100,BAH,TATC,1,1,TL
2,4,604,7,DS,E6,31U3X,NC,I,32173100,BAH,TATC,7,7,YD
2,4,604,8,OPNS SGT,E5,31U2O,NC,I,32173100,BAH,TATC,1,1,

,,,,,,,TALS,,,,,15,15,

,,605,0,CO E 369TH,,W0,,,,,,,,
2,6,605,1,COMMANDER,O3,25A00,SC,K,32173100,UKC,TATC,1,1,YW
2,6,605,2,XO,O2,01A00,,K,32173100,BAH,TATC,1,1,
2,6,605,3,FIRST SGT,E8,31U5M,NC,I,32173100,BAH,TATC,1,1,
2,6,605,4,SR DS,E7,31U4X,NC,I,32173100,BAH,TATC,3,3,YD
2,6,605,5,DS,E6,31U3X,NC,I,32173100,BAH,TATC,8,8,YD
